sep=,
Ext_id: com.instructure.candroid,To: 2022-02-04,From: 2021-01-02
Date,AppID,AppName,Language,Review Language,Version,VersionCode,OS,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Device,Device Type,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
"2021-01-02 00:38:49","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Jathan Good","5",,"So helpful to have this available on my phone and my tablet.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780058841?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780058841"
"2021-01-02 02:58:45","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Karlee Kitterman","5",,"I love this app Mustang public schools use it and so when I have homework or we do distance learning it's super easy to send messages to my teachers for help and I can access my online history book with this app if my teacher posts the link to it also I can see what assignments I need to do and what assignments I haven't done anyway I hope this was helpful 😊🦄",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780151525?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780151525"
"2021-01-02 05:07:27","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Misty Morgan","5",,"its been great easy to navagate and use for my nephew and to keep up on his grades",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780232164?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780232164"
"2021-01-02 05:47:54","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Robert Pino","5",,"Easy to use",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780232165?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780232165"
"2021-01-02 06:23:09","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Brenda Moreno","5",,"This app has what you really need for a virtual classroom.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780232166?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780232166"
"2021-01-02 09:47:33","com.instructure.candroid","Canvas Student","en","en",,,,"Dotto","5",,"I was an exchange student so I only used this app for a semester, but it helped me a lot.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780292984?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780292984"
"2021-01-02 16:23:38","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Sam","5",,"It's so rare that I have an issue with this app. I only wish the ""InScribe"" forum was easier to view on it but, I'm not sure if that's with Canvas or InScribe. I love the app! Check it every day of the semester. :)",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780464220?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780464220"
"2021-01-02 18:27:20","com.instructure.candroid","Canvas Student","en","en",,,,"lightning leo the pro","5",,"Every app I've ever used has a few glitches so every now and then we've had some hiccups but for the most part this is one of the easiest to platforms that my kids use for school and it has been pretty wonderful we also end up using seesaw and I actually prefer this to seesaw. I don't know all of the features on this so I can't tell you but the only thing I like about seesaw versus this is that you can do interactive worksheets on seesaw that would be the only thing I would change about this.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780533987?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780533987"
"2021-01-02 19:29:29","com.instructure.candroid","Canvas Student","en","en","6.9.3",,,"akia Stanfield","5",,"It helps when I can't sign in on my computer",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780533988?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780533988"
"2021-01-02 19:31:57","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"AGYEI REBECCA","5",,"Awesome!",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780533989?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780533989"
"2021-01-02 20:54:24","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Kayla Evans","5",,"Its amazing and it is a good shortcut for s chooling",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780533990?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780533990"
"2021-01-03 08:21:26","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Recruit Operator Blue","1",,"Bro its not user-friendly and its easy too get confused and teacher don't even try to learn how to use it and just complain about there students!!!",,,,,,,,,,"Updated",,,,,,,,"https://appfollow.io/gp/20453/review/763235724?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=763235724"
"2021-01-03 03:36:04","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"Mahfuzul Haque's vlog","5",,"I am loving it it is soo helpful ☺",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780620338?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780620338"
"2021-01-03 05:36:38","com.instructure.candroid","Canvas Student","en","en","6.9.5",,,"isaiah beckley","1",,"Google classroom is way better by a long shot",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/780663036?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=780663036"
