sep=,
Ext_id: com.instructure.candroid,From: 2020-03-20,To: 2022-02-01
Date,AppID,AppName,Language,Review Language,Version,VersionCode,OS,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Developer Reply,User,Device,Device Type,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link
"2020-03-20 22:33:34","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Xin Chen","1",,"This app is terribly hard to use and glitchy, I wish educators would use google classroom rather than canvas.",,,,,,,,,,"Updated",,,,,,,,"https://appfollow.io/gp/20453/review/467478511?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=467478511"
"2020-03-20 00:11:30","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Barbara Parnell","5",,"Very good instruction and resources.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471470800?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471470800"
"2020-03-20 00:37:14","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Declan Marks","3",,"The app is OK. Notification system is stupid. She I tap on a push notification I want to be taken to the information. Not just open the app.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471470801?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471470801"
"2020-03-20 01:59:38","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Cameron Basford","5",,"Love this app for my school!",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471592126?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471592126"
"2020-03-20 02:19:52","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Ulya Jamson","5",,"User friendly",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471592127?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471592127"
"2020-03-20 04:00:09","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Jose Mari King","1",,"This is harmful to me",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471592128?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471592128"
"2020-03-20 05:45:44","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Joseph Bourne","5",,"Very good app for students",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471671352?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471671352"
"2020-03-20 05:46:38","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"wabi sabi","1",,"The App is bonkers af, bruh. The lectures when you try to open them? Doesn't load, and downloading them is such a chore, so slow even if you have stable connection to the internet. Notifications is meh, and vague af. And the most infuriating of all is the submission stages. Like... What. In. The. World. Even. Is. This. Many Uni might've used this App up to now, but this App is mediocre at best, does its job, but having their executions flopped.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471671353?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471671353"
"2020-03-20 06:00:27","com.instructure.candroid","Canvas Student","en","it","6.6.5",,,"Varun Ajith","5",,"Poli sanama upayogicho😏",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471671354?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471671354"
"2020-03-20 08:15:47","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Erinn","1",,"Out of pocket. This quarantine got professors assigning too much work. 👎",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471846474?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471846474"
"2020-03-20 08:19:43","com.instructure.candroid","Canvas Student","en","en",,,,"Ramil Perez Mante","5",,"Scholarly.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471846475?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471846475"
"2020-03-20 13:36:38","com.instructure.candroid","Canvas Student","en","en","6.6.5",,,"josephine salters","4",,"Alot of the work requires a computer. Idk if that's the school or the app. But, other than tht the app great! The set up is so easy to navigate and let's you use all its features.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471995717?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471995717"
"2020-03-20 14:13:19","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Walid's Towel","1",,"Dis jawn trash. Rate it one star and they'll shut down the app",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471995718?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471995718"
"2020-03-20 14:40:59","com.instructure.candroid","Canvas Student","en","en","6.6.5",,,"hady saad","3",,"Clicking on a notification, such as ""Exam 2 has been graded for PSYCH 240"" or ""this assignment has been added for CHEM 210"" sends you into the app but not to that page. It just sends you into where you last were in the app or the home screen of the app if it was closed. Pretty annoying problem ~",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471995719?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471995719"
"2020-03-20 14:43:00","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Kyquan Wilson","5",,"Fine",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471995720?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471995720"
"2020-03-20 14:49:23","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Joseph Avenila","1",,"Notification is the worst part and the due date of every assignments are always wrong.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471995721?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471995721"
"2020-03-20 15:27:50","com.instructure.candroid","Canvas Student","en","en","6.6.5",,,"j holloway","2",,"At first, the app was working, but I noticed, after a few weeks, it displays an 1104 error message. This is an important app to check grades, communicate with instructors and stay on top when it comes to homework and tests. However, this app is really worthless. Please fix it, because it doesn't have much value unless it works.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471995722?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471995722"
"2020-03-20 15:45:38","com.instructure.candroid","Canvas Student","en","en",,,,"Corbin Miles","5",,"Great kinda glitchy but useful.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/471995723?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=471995723"
"2020-03-20 17:51:36","com.instructure.candroid","Canvas Student","en","en","6.6.5",,,"Ravindu Hasaranga","5",,"Excellent",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472129129?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472129129"
"2020-03-20 20:16:32","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"eira sayas","5",,"Might stop but you can refresh.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472379670?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472379670"
"2020-03-20 20:35:39","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"GaZe Anime","1",,"sucks it's terrible and not user friendly and crashes a lot",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472379671?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472379671"
"2020-03-20 23:03:07","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"TheMlg Pickachu","1",,"Its hasn't been working as well as I hoped it would. There is a bug where I cant open the app and its laggy",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472379672?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472379672"
"2020-03-20 23:17:10","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Tangela Culbreth","1",,"Definitely not the best app. It is convenient if you want to see your assignments but does not work 100%. The notifications barely work. I can't highlight anything in the text which is extremely important to me for creating notes. It needs a lot of work or a great update.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472379673?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472379673"
"2020-03-21 00:40:31","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Mary Deischel","1",,"I am able to view one child's completed assignments and upcoming assignments. I'm unable to add my other children to the app. I'm using an Android phone. There is no option to add additional children under the gear icon, as insructed.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472379674?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472379674"
"2020-03-21 00:52:10","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Hunter Canaday","5",,"People i paid my way into college and I need this app to pass. Dont do 1 star review to get the app taken down just so you dont have to do homework. Its an excellent app and without it i would probably have to repeat the semesters and pay for them again.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472379675?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472379675"
"2020-03-21 01:06:31","com.instructure.candroid","Canvas Student","en","en",,,,"Steve Muckenthaler","1",,"Bad",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472379676?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472379676"
"2020-03-21 01:14:07","com.instructure.candroid","Canvas Student","en","en",,,,"Olivia Damian","1",,"Horrible app",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472379677?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472379677"
"2020-03-21 01:43:51","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"Phoenix Lortie","1",,"Worst experience ever it made me so mad wont let me do anything",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472737460?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472737460"
"2020-03-21 02:01:14","com.instructure.candroid","Canvas Student","en","mg","6.6.6",,,"Yummerz Yupperz","1",,"Putangina",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472737461?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472737461"
"2020-03-21 02:43:58","com.instructure.candroid","Canvas Student","en","en","6.6.6",,,"S_kil_S","1",,"HORRIBLE. Makes no sense. Doesn't work half the time and overall has just been a complete waste of time and resources.",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472737462?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472737462"
"2020-03-21 06:21:58","com.instructure.candroid","Canvas Student","en","en",,,,"Rossy 05","5",,"thank you for this, free courses and easy to navigate ♡♡♡",,,,,,,,,,,,,,,,,,"https://appfollow.io/gp/20453/review/472810988?s=global3","https://watch.appfollow.io/apps/opay/reviews/538206?review_id=472810988"
